SAMPLE,Comments,vcal_reprod,vcal_discont,vcal_marstat,vcal_mig,vcal_fpsource,vcal_term,vcal_ppa,vcal_bfeed,vcal_ppabstain,vcal_sep,vcal_work,vcal_ultra,vcal_aborplace
af2015ir,,1,2,,,,,,,,,,,
ao2015ir,,1,2,,,,,,,,,,,
bd1994ir,,1,2,3,,,,,,,,,,
bd1997ir,,1,2,3,,,5,,,,,,,
bd2000ir,,1,2,3,,5,,,,,,,,
bd2004ir,,1,2,3,,5,,,,,,,,
bd2007ir,,1,,,,,,,,,,,,
bd2011ir,,1,2,,,,,,,,,,,
bd2014ir,,1,2,,,,,,,,,,,
bf2003ir,,1,,,,,,,,,,,,
bf2010ir,,1,2,,,,,,,,,,,
bi2010ir,,1,2,,,,,,,,,,,
bi2016ir,,1,2,,,,,,,,,,,
bj2006ir,,1,,,,,,,,,,,,
bj2011ir,,1,2,,,,,,,,,,,
bj2017ir,,1,2,,,,,,,,,,,
eg1992ir,,1,2,6,7,,,3,5,4,9,8,,
eg1995ir,"vcal_term is in ""scal"", scal ranges in length from 71 to 74 months",1,2,3,,,0,,,,,,,
eg2000ir,no notes for cals 5-8; cals 6-7 are 1 month short,1,2,3,,5,8,6,7,,,,,
eg2003ir,no notes for cals 6-8,1,2,3,,,8,6,7,,,,,
eg2005ir,no notes for cals 5-8 ,1,2,3,,5,6,,,,8,,,7
eg2008ir,no notes for cals 5-6,1,2,3,,5,6,,,,,,,
eg2014ir,no note for vcal4,1,2,3,,,4,,,,,,,
et2005ir,,1,2,3,,5,,,,,,,,
et2011ir,,1,,,,,,,,,,,,
et2016ir,,1,2,,,,,,,,,,,
gh2003ir,,1,,,,,,,,,,,,
gh2008ir,,1,,,,,,,,,,,,
gh2014ir,,1,2,,,,,,,,,,,
gm2013ir,,1,2,,,,,,,,,,,
gn2005ir,,1,,,,,,,,,,,,
gn2018ir,,1,2,,,,,,,,,,,
ia2005ir,there are 2 start months listed in v017,1,2,3,,,,,,,,,6,
ia2015ir,there are 2 start months listed in v017 ,1,2,,,,7,,,,,,6,
jo1990ir,,1,2,6,7,,,3,5,4,,8,,
jo1997ir,,1,2,3,4,,,,,,,,,
jo2002ir,,1,2,3,,5,,,,,,,,
jo2007ir,,1,2,,,,,,,,,,,
jo2009ir,,1,2,,,,,,,,,,,
jo2012ir,,1,2,,,,,,,,,,,
jo2017ir,,1,2,,,,,,,,,,,
ke1998ir,,1,2,3,4,,,,,,,,,
ke2003ir,,1,2,3,,5,,,,,,,,
ke2008ir,,1,,,,,,,,,,,,
ke2014ir,,1,2,,,,,,,,,,,
km2012ir,,1,2,,,,,,,,,,,
lr2013ir,vcal_discont is one month short,1,2,,,,,,,,,,,
ls2009ir,,1,,,,,,,,,,,,
ls2014ir,,1,2,,,,,,,,,,,
ma1992ir,,1,2,6,7,,,3,5,4,,8,,
ma2003ir,,1,2,,,,,,,,,,,
mg2003ir,,1,,,,,,,,,,,,
mg2008ir,,1,,,,,,,,,,,,
ml2001ir,,1,,,,,,,,,,,,
ml2006ir,,1,,,,,,,,,,,,
ml2012ir,,1,2,,,,,,,,,,,
ml2018ir,,1,2,,,,,,,,,,,
mm2015ir,,1,2,,,,,,,,,,,
mw2000ir,,1,,,,,,,,,,,,
mw2004ir,,1,2,3,,5,,,,,,,,
mw2010ir,,1,,,,,,,,,,,,
mw2016ir,,1,2,,,,,,,,,,,
mz2003ir,,1,,,,,,,,,,,,
mz2011ir,,1,2,,,,,,,,,,,
ne2006ir,,1,,,,,,,,,,,,
ne2012ir,,1,2,,,,,,,,,,,
ng2008ir,,1,,,,,,,,,,,,
ng2013ir,,1,2,,,,,,,,,,,
ng2018ir,,1,2,,,,,,,,,,,
nm2006ir,,1,,,,,,,,,,,,
nm2013ir,,1,2,,,,,,,,,,,
np2006ir,,1,,,,,,,,,,,,
np2011ir,,1,2,,,,6,,,,,,,
np2016ir,"vcal_6 == vcal_1, result is NA for all term variables",1,2,,,,6,,,,,,,
pk2012ir,,1,2,,,,3,,,,,,,
pk2017ir,,1,2,,,,6,,,,,,,
rw2000ir,,1,,,,,,,,,,,,
rw2005ir,,1,,,,,,,,,,,,
rw2010ir,,1,2,,,,,,,,,,,
rw2014ir,,1,2,,,,,,,,,,,
sl2008ir,,1,,,,,,,,,,,,
sl2013ir,,1,2,,,,,,,,,,,
sn2005ir,,1,,,,,,,,,,,,
sn2010ir,,1,2,,,,,,,,,,,
sn2012ir,,1,2,,,,,,,,,,,
sn2014ir,,1,2,,,,,,,,,,,
sn2015ir,,1,2,,,,,,,,,,,
sn2016ir,,1,2,,,,,,,,,,,
sn2017ir,,1,2,,,,,,,,,,,
sz2006ir,,1,,,,,,,,,,,,
tz2004ir,,1,2,3,,5,,,,,,,,
tz2010ir,,1,,,,,,,,,,,,
tz2015ir,,1,2,,,,,,,,,,,
ug2001ir,,1,,,,,,,,,,,,
ug2006ir,,1,,,,,,,,,,,,
ug2011ir,,1,2,,,,,,,,,,,
ug2016ir,,1,2,,,,,,,,,,,
ye2013ir,,1,2,,,,,,,,,,,
za2016ir,,1,2,,,,3,,,,,,,
zm2007ir,,1,,,,,,,,,,,,
zm2013ir,,1,2,,,,,,,,,,,
zm2018ir,,1,2,,,,,,,,,,,
zw1994ir,,1,2,3,4,,,,,,,,,
zw1999ir,,1,2,3,,5,,,,,,,,
zw2005ir,,1,2,3,,5,,,,,,,,
zw2010ir,,1,2,,,,,,,,,,,
zw2015ir,,1,2,,,,,,,,,,,
lr2019ir,,1,2,,,,,,,,,,,
gm2019ir,,1,2,,,,,,,,,,,
sl2019ir,,1,2,,,,,,,,,,,
sn2018ir,,1,2,,,,,,,,,,,
sn2019ir,,1,2,,,,,,,,,,,
bd2018ir,,1,2,,,,,,,,,,,